mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gb__learning_rate,param_gb__n_estimators,param_rf__max_depth,param_rf__n_estimators,param_voting,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model
0.9939154148101806,0.05121687484419354,0.03483095169067383,0.0033178541658945,0.01,50,,50,hard,"[1, 1]","{'gb__learning_rate': 0.01, 'gb__n_estimators': 50, 'rf__max_depth': None, 'rf__n_estimators': 50, 'voting': 'hard', 'weights': [1, 1]}",0.923896499238965,0.9246001523229246,0.9246001523229246,0.9246001523229246,0.9238385376999239,0.9243070987815326,0.0003593835293727946,741,Ensemble
1.0455818176269531,0.024040574337380514,0.03947567939758301,0.004112884894139544,0.01,50,,50,hard,"[2, 1]","{'gb__learning_rate': 0.01, 'gb__n_estimators': 50, 'rf__max_depth': None, 'rf__n_estimators': 50, 'voting': 'hard', 'weights': [2, 1]}",0.939117199391172,0.9398324447829398,0.9444021325209444,0.9474485910129474,0.9466869763899467,0.9434974688195901,0.003441566590827775,202,Ensemble
1.0344272136688233,0.029506301232969476,0.03904414176940918,0.004321454128118093,0.01,50,,50,hard,"[1, 2]","{'gb__learning_rate': 0.01, 'gb__n_estimators': 50, 'rf__max_depth': None, 'rf__n_estimators': 50, 'voting': 'hard', 'weights': [1, 2]}",0.923896499238965,0.9246001523229246,0.9246001523229246,0.9246001523229246,0.9238385376999239,0.9243070987815326,0.0003593835293727946,741,Ensemble
1.0484411239624023,0.028057163787330558,0.0438727855682373,0.004808589902904637,0.01,50,,50,hard,"[3, 1]","{'gb__learning_rate': 0.01, 'gb__n_estimators': 50, 'rf__max_depth': None, 'rf__n_estimators': 50, 'voting': 'hard', 'weights': [3, 1]}",0.939117199391172,0.9398324447829398,0.9444021325209444,0.9474485910129474,0.9466869763899467,0.9434974688195901,0.003441566590827775,202,Ensemble
1.0341654300689698,0.030322684814292556,0.047563028335571286,0.00680219299427848,0.01,50,,50,hard,"[1, 3]","{'gb__learning_rate': 0.01, 'gb__n_estimators': 50, 'rf__max_depth': None, 'rf__n_estimators': 50, 'voting': 'hard', 'weights': [1, 3]}",0.923896499238965,0.9246001523229246,0.9246001523229246,0.9246001523229246,0.9238385376999239,0.9243070987815326,0.0003593835293727946,741,Ensemble
1.0397940158843995,0.020147557411748562,0.028684091567993165,0.003359589479097611,0.01,50,,50,soft,"[1, 1]","{'gb__learning_rate': 0.01, 'gb__n_estimators': 50, 'rf__max_depth': None, 'rf__n_estimators': 50, 'voting': 'soft', 'weights': [1, 1]}",0.9292237442922374,0.9261233815689262,0.9261233815689262,0.9253617669459253,0.9276466108149276,0.9268957770381885,0.0013805476725745978,687,Ensemble
1.044303035736084,0.03319286274965129,0.028651618957519533,0.006447026690859046,0.01,50,,50,soft,"[2, 1]","{'gb__learning_rate': 0.01, 'gb__n_estimators': 50, 'rf__max_depth': None, 'rf__n_estimators': 50, 'voting': 'soft', 'weights': [2, 1]}",0.9353120243531202,0.9345011424219345,0.9314546839299315,0.9352627570449352,0.9375476009139375,0.9348156417327719,0.0019649354159717845,577,Ensemble
1.0660659313201903,0.005351446648896751,0.026749658584594726,0.0025499022052217,0.01,50,,50,soft,"[1, 2]","{'gb__learning_rate': 0.01, 'gb__n_estimators': 50, 'rf__max_depth': None, 'rf__n_estimators': 50, 'voting': 'soft', 'weights': [1, 2]}",0.923896499238965,0.9246001523229246,0.9246001523229246,0.9246001523229246,0.9238385376999239,0.9243070987815326,0.0003593835293727946,741,Ensemble
1.041257619857788,0.038023151423575256,0.03284926414489746,0.005827351292143816,0.01,50,,50,soft,"[3, 1]","{'gb__learning_rate': 0.01, 'gb__n_estimators': 50, 'rf__max_depth': None, 'rf__n_estimators': 50, 'voting': 'soft', 'weights': [3, 1]}",0.9398782343987824,0.9398324447829398,0.9375476009139375,0.9398324447829398,0.9390708301599391,0.9392323110077078,0.0008946353768696286,382,Ensemble
1.06156644821167,0.01662756402806353,0.03881759643554687,0.0043475936590970585,0.01,50,,50,soft,"[1, 3]","{'gb__learning_rate': 0.01, 'gb__n_estimators': 50, 'rf__max_depth': None, 'rf__n_estimators': 50, 'voting': 'soft', 'weights': [1, 3]}",0.923896499238965,0.9246001523229246,0.9246001523229246,0.9246001523229246,0.9238385376999239,0.9243070987815326,0.0003593835293727946,741,Ensemble
1.4771660804748534,0.044531818026609764,0.04826722145080566,0.003236769813611676,0.01,50,,100,hard,"[1, 1]","{'gb__learning_rate': 0.01, 'gb__n_estimators': 50, 'rf__max_depth': None, 'rf__n_estimators': 100, 'voting': 'hard', 'weights': [1, 1]}",0.923896499238965,0.9246001523229246,0.9246001523229246,0.9246001523229246,0.9238385376999239,0.9243070987815326,0.0003593835293727946,741,Ensemble
